metric_group,split,source_split,model_slug,dataset,source_kind,num_filtered_samples,num_metric_rows,num_missing_rows,num_render_success,render_success_rate
render_success,filtered_test,test,gpt_5_4,geometry3k,benchmark_eval,65,65,0,65,1.0000000000
render_success,filtered_test,test,gpt_5_4,matplotlib,benchmark_eval,31,31,0,29,0.9354838710
render_success,filtered_test,test,gpt_5_4,spatialvlm_qa,benchmark_eval,161,161,0,151,0.9378881988
render_success,filtered_test_mini,test,gpt_5_4,ChartQA,benchmark_eval_test_derived,45,45,0,44,0.9777777778
render_success,filtered_test_mini,test,gpt_5_4,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,63,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,DocVQA,benchmark_eval_test_derived,68,68,0,62,0.9117647059
render_success,filtered_test_mini,test,gpt_5_4,EEE-Bench,benchmark_eval_test_derived,22,22,0,22,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,Geoperception,benchmark_eval_test_derived,34,34,0,34,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,39,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,42,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,OlympiadBench,benchmark_eval_test_derived,23,23,0,23,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,Physics,benchmark_eval_test_derived,31,31,0,31,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,dvqa,benchmark_eval_test_derived,39,39,0,39,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,figureqa,benchmark_eval_test_derived,39,39,0,36,0.9230769231
render_success,filtered_test_mini,test,gpt_5_4,geometry3k,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4,matplotlib,benchmark_eval_test_derived,13,13,0,12,0.9230769231
render_success,filtered_test_mini,test,gpt_5_4,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,37,0.9487179487
render_success,filtered_test,test,gpt_5_4_mini,ChartQA,benchmark_eval,195,195,0,159,0.8153846154
render_success,filtered_test,test,gpt_5_4_mini,ChemVQA-2K,benchmark_eval,288,288,0,280,0.9722222222
render_success,filtered_test,test,gpt_5_4_mini,DocVQA,benchmark_eval,292,292,0,248,0.8493150685
render_success,filtered_test,test,gpt_5_4_mini,EEE-Bench,benchmark_eval,67,67,0,62,0.9253731343
render_success,filtered_test,test,gpt_5_4_mini,GEOQA_8K_R1V,benchmark_eval,73,73,0,73,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini,Geoperception,benchmark_eval,137,137,0,135,0.9854014599
render_success,filtered_test,test,gpt_5_4_mini,Graph-Algorithms,benchmark_eval,161,161,0,159,0.9875776398
render_success,filtered_test,test,gpt_5_4_mini,GraphVQA-Swift,benchmark_eval,175,175,0,163,0.9314285714
render_success,filtered_test,test,gpt_5_4_mini,OlympiadBench,benchmark_eval,81,81,0,80,0.9876543210
render_success,filtered_test,test,gpt_5_4_mini,Physics,benchmark_eval,121,121,0,121,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini,dvqa,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini,figureqa,benchmark_eval,161,161,0,150,0.9316770186
render_success,filtered_test,test,gpt_5_4_mini,geometry3k,benchmark_eval,65,65,0,63,0.9692307692
render_success,filtered_test,test,gpt_5_4_mini,matplotlib,benchmark_eval,31,31,0,27,0.8709677419
render_success,filtered_test,test,gpt_5_4_mini,spatialvlm_qa,benchmark_eval,161,161,0,139,0.8633540373
render_success,filtered_test_mini,test,gpt_5_4_mini,ChartQA,benchmark_eval_test_derived,45,45,0,35,0.7777777778
render_success,filtered_test_mini,test,gpt_5_4_mini,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,63,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,DocVQA,benchmark_eval_test_derived,68,68,0,58,0.8529411765
render_success,filtered_test_mini,test,gpt_5_4_mini,EEE-Bench,benchmark_eval_test_derived,22,22,0,21,0.9545454545
render_success,filtered_test_mini,test,gpt_5_4_mini,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,Geoperception,benchmark_eval_test_derived,34,34,0,34,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,38,0.9743589744
render_success,filtered_test_mini,test,gpt_5_4_mini,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,40,0.9523809524
render_success,filtered_test_mini,test,gpt_5_4_mini,OlympiadBench,benchmark_eval_test_derived,23,23,0,23,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,Physics,benchmark_eval_test_derived,31,31,0,31,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,dvqa,benchmark_eval_test_derived,39,39,0,39,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,figureqa,benchmark_eval_test_derived,39,39,0,37,0.9487179487
render_success,filtered_test_mini,test,gpt_5_4_mini,geometry3k,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini,matplotlib,benchmark_eval_test_derived,13,13,0,11,0.8461538462
render_success,filtered_test_mini,test,gpt_5_4_mini,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,35,0.8974358974
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,ChartQA,benchmark_eval,195,195,0,194,0.9948717949
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,ChemVQA-2K,benchmark_eval,288,288,0,288,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,DocVQA,benchmark_eval,292,292,0,291,0.9965753425
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,EEE-Bench,benchmark_eval,67,67,0,67,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,GEOQA_8K_R1V,benchmark_eval,73,73,0,73,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,Geoperception,benchmark_eval,137,137,0,137,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,Graph-Algorithms,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,GraphVQA-Swift,benchmark_eval,175,175,0,175,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,OlympiadBench,benchmark_eval,81,81,0,81,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,Physics,benchmark_eval,121,121,0,121,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,dvqa,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,figureqa,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,geometry3k,benchmark_eval,65,65,0,65,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,matplotlib,benchmark_eval,31,31,0,31,1.0000000000
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,spatialvlm_qa,benchmark_eval,161,161,0,136,0.8447204969
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,ChartQA,benchmark_eval_test_derived,45,45,0,45,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,63,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,DocVQA,benchmark_eval_test_derived,68,68,0,68,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,EEE-Bench,benchmark_eval_test_derived,22,22,0,22,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,Geoperception,benchmark_eval_test_derived,34,34,0,34,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,39,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,42,1.0000000000
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,OlympiadBench,benchmark_eval_test_derived,23,23,0,23,1.0000000000
