metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,EEE-Bench,,67,67,0,67,0,3.1253731343,3.1253731343,3.2007462687,3.1253731343,3.2007462687,67,59
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,GEOQA_8K_R1V,,73,73,0,73,0,2.9890410959,2.9890410959,3.1137671233,2.9890410959,3.1137671233,73,66
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,Geoperception,,137,137,0,137,0,3.4532846715,3.4532846715,3.5723722628,3.4532846715,3.5723722628,137,118
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,Graph-Algorithms,,161,161,0,161,0,2.8732919255,2.8732919255,4.0155279503,2.8732919255,4.0155279503,161,153
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,GraphVQA-Swift,,175,175,0,175,0,4.3188571429,4.3188571429,4.3845428571,4.3188571429,4.3845428571,175,172
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,OlympiadBench,,81,81,0,81,0,2.7691358025,2.7691358025,3.3728395062,2.7691358025,3.3728395062,81,74
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,Physics,,121,121,0,121,0,4.0504132231,4.0504132231,4.1530991736,4.0504132231,4.1530991736,121,116
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,dvqa,,161,161,0,161,0,4.3795031056,4.3795031056,4.4164285714,4.3795031056,4.4164285714,161,156
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,figureqa,,161,161,0,161,0,4.0534161491,4.0534161491,4.0935403727,4.0534161491,4.0935403727,161,152
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,geometry3k,,65,65,0,65,0,3.8369230769,3.8369230769,3.8852307692,3.8369230769,3.8852307692,65,61
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,matplotlib,,31,31,0,31,0,3.0193548387,3.0193548387,3.2717741935,3.0193548387,3.2717741935,31,28
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,spatialvlm_qa,,161,161,0,161,0,0.7559006211,0.7559006211,0.8296583851,0.7559006211,0.8296583851,161,118
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,ChartQA,,45,45,0,45,0,3.3888888889,3.3888888889,3.3936666667,3.3888888889,3.3936666667,45,35
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,ChemVQA-2K,,63,63,0,63,0,3.0238095238,3.0238095238,3.7761904762,3.0238095238,3.7761904762,63,61
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,DocVQA,,68,68,0,68,0,2.9161764706,2.9161764706,4.1082352941,2.9161764706,4.1082352941,68,62
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,EEE-Bench,,22,22,0,22,0,2.8727272727,2.8727272727,2.9590909091,2.8727272727,2.9590909091,22,19
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,GEOQA_8K_R1V,,21,21,0,21,0,3.5523809524,3.5523809524,3.5714285714,3.5523809524,3.5714285714,21,20
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,Geoperception,,34,34,0,34,0,3.6058823529,3.6058823529,3.9022058824,3.6058823529,3.9022058824,34,31
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,Graph-Algorithms,,39,39,0,39,0,2.5923076923,2.5923076923,3.6910256410,2.5923076923,3.6910256410,39,35
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,GraphVQA-Swift,,42,42,0,42,0,4.0833333333,4.0833333333,4.1329761905,4.0833333333,4.1329761905,42,40
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,OlympiadBench,,23,23,0,23,0,2.7130434783,2.7130434783,3.5043478261,2.7130434783,3.5043478261,23,21
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,Physics,,31,31,0,31,0,4.3774193548,4.3774193548,4.4096774194,4.3774193548,4.4096774194,31,30
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,dvqa,,39,39,0,39,0,4.5666666667,4.5666666667,4.6025641026,4.5666666667,4.6025641026,39,39
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,figureqa,,39,39,0,39,0,4.1487179487,4.1487179487,4.1807692308,4.1487179487,4.1807692308,39,37
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,geometry3k,,21,21,0,21,0,3.3095238095,3.3095238095,3.3583333333,3.3095238095,3.3583333333,21,18
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,matplotlib,,13,13,0,13,0,3.5461538462,3.5461538462,3.7846153846,3.5461538462,3.7846153846,13,13
main_benchmark,filtered_test_mini,test,kimi_k2_5_reasoning,spatialvlm_qa,,39,39,0,39,0,0.6974358974,0.6974358974,0.7532051282,0.6974358974,0.7532051282,39,29
main_benchmark,filtered_test,test,qwen35_397b_a17b,ChartQA,,195,195,0,195,0,3.1041025641,3.1041025641,3.1456153846,3.1041025641,3.1456153846,195,182
main_benchmark,filtered_test,test,qwen35_397b_a17b,ChemVQA-2K,,288,288,0,288,0,0.9583333333,0.9583333333,2.4152777778,0.9583333333,2.4152777778,288,276
main_benchmark,filtered_test,test,qwen35_397b_a17b,DocVQA,,292,292,0,292,0,1.3109589041,1.3109589041,2.9797602740,1.3109589041,2.9797602740,292,241
main_benchmark,filtered_test,test,qwen35_397b_a17b,EEE-Bench,,67,67,0,66,1,1.5560606061,1.5560606061,1.5943181818,1.5560606061,1.5943181818,66,61
main_benchmark,filtered_test,test,qwen35_397b_a17b,GEOQA_8K_R1V,,73,73,0,73,0,2.4479452055,2.4479452055,2.5780821918,2.4479452055,2.5780821918,73,69
main_benchmark,filtered_test,test,qwen35_397b_a17b,Geoperception,,137,137,0,137,0,2.8540145985,2.8540145985,2.9452554745,2.8540145985,2.9452554745,137,126
main_benchmark,filtered_test,test,qwen35_397b_a17b,Graph-Algorithms,,161,161,0,161,0,2.6031055901,2.6031055901,3.4706521739,2.6031055901,3.4706521739,161,146
main_benchmark,filtered_test,test,qwen35_397b_a17b,GraphVQA-Swift,,175,175,0,175,0,3.6531428571,3.6531428571,3.9560000000,3.6531428571,3.9560000000,175,158
main_benchmark,filtered_test,test,qwen35_397b_a17b,OlympiadBench,,81,81,0,81,0,2.1308641975,2.1308641975,2.5613580247,2.1308641975,2.5613580247,81,76
main_benchmark,filtered_test,test,qwen35_397b_a17b,Physics,,121,121,0,121,0,2.3595041322,2.3595041322,2.5154958678,2.3595041322,2.5154958678,121,98
main_benchmark,filtered_test,test,qwen35_397b_a17b,dvqa,,161,161,0,161,0,3.1186335404,3.1186335404,3.2619565217,3.1186335404,3.2619565217,161,140
main_benchmark,filtered_test,test,qwen35_397b_a17b,figureqa,,161,161,0,161,0,3.0770186335,3.0770186335,3.1803416149,3.0770186335,3.1803416149,161,130
main_benchmark,filtered_test,test,qwen35_397b_a17b,geometry3k,,65,65,0,65,0,2.6692307692,2.6692307692,2.8258461538,2.6692307692,2.8258461538,65,60
main_benchmark,filtered_test,test,qwen35_397b_a17b,matplotlib,,31,31,0,31,0,1.8032258065,1.8032258065,1.8120967742,1.8032258065,1.8120967742,31,24
main_benchmark,filtered_test,test,qwen35_397b_a17b,spatialvlm_qa,,161,161,0,160,1,0.3800000000,0.3800000000,0.3867187500,0.3800000000,0.3867187500,160,73
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,ChartQA,,45,45,0,45,0,3.2200000000,3.2200000000,3.2203333333,3.2200000000,3.2203333333,45,42
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,ChemVQA-2K,,63,63,0,63,0,0.9190476190,0.9190476190,2.2666666667,0.9190476190,2.2666666667,63,58
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,DocVQA,,68,68,0,68,0,1.5367647059,1.5367647059,3.1296323529,1.5367647059,3.1296323529,68,60
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,EEE-Bench,,22,22,0,22,0,1.4090909091,1.4090909091,1.4465909091,1.4090909091,1.4465909091,22,20
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,GEOQA_8K_R1V,,21,21,0,21,0,2.8142857143,2.8142857143,2.8214285714,2.8142857143,2.8214285714,21,21
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,Geoperception,,34,34,0,34,0,2.8058823529,2.8058823529,2.8082352941,2.8058823529,2.8082352941,34,29
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,Graph-Algorithms,,39,39,0,39,0,2.9333333333,2.9333333333,3.5160256410,2.9333333333,3.5160256410,39,34
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,GraphVQA-Swift,,42,42,0,42,0,3.6071428571,3.6071428571,4.1095238095,3.6071428571,4.1095238095,42,40
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,OlympiadBench,,23,23,0,23,0,2.4217391304,2.4217391304,2.9139130435,2.4217391304,2.9139130435,23,23
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,Physics,,31,31,0,31,0,2.6258064516,2.6258064516,2.7193548387,2.6258064516,2.7193548387,31,25
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,dvqa,,39,39,0,39,0,3.5051282051,3.5051282051,3.6703846154,3.5051282051,3.6703846154,39,37
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,figureqa,,39,39,0,39,0,2.9307692308,2.9307692308,3.0034615385,2.9307692308,3.0034615385,39,31
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,geometry3k,,21,21,0,21,0,2.4428571429,2.4428571429,2.6533333333,2.4428571429,2.6533333333,21,19
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,matplotlib,,13,13,0,13,0,2.4000000000,2.4000000000,2.3903846154,2.4000000000,2.3903846154,13,11
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b,spatialvlm_qa,,39,39,0,38,1,0.5368421053,0.5368421053,0.5578947368,0.5368421053,0.5578947368,38,24
